Ticker,Period,Revenue_M,EBITDA_M,Net Income_M,Net Debt_M,Shares_M
IMAX,FY2025,410.2,184.9,45.5,127.4,55.5
DBO.TO,FY2025,42.8,7.3,3.9,-6.6,179.5
DLB,FY2025,1349.1,,255.0,-782.1,97.5
AMC,FY2025,4848.9,387.5,-632.4,3610.0,472.9
CNK,FY2025,3115.0,578.0,138.2,1531.3,134.3
CGX.TO,FY2025,1285.0,91.6,-36.9,657.3,63.5
KINE.BR,FY2025,564.9,162.6,37.9,287.2,27.2
